IsWon,IsClosed,LeadId,LeadCreateDate,CompanyName,Country,Department,EmailDomain,Industry,JobTitle,IsTraining
FALSE,TRUE,00Q7000000k7jEFEAY,10/19/2012 20:35:50,Abilene Christian University,,,@acu.edu,Education,,TRUE
FALSE,FALSE,00Q7000001B88xHEAR,11/13/2015 16:37:09,Abilene Christian University,United States,Technical - Development/Engineering,@acu.edu,Education,Director/Manager,FALSE
FALSE,TRUE,00Q7000000fGijtEAC,2/23/2012 18:17:14,Cisco Systems Inc.,,,@cisco.com,,,TRUE
TRUE,TRUE,00Q7000000Tf3pvEAB,1/25/2010 12:12:31,British Airways Plc,,,@ba.com,,C-Level/Executive/VP,TRUE
FALSE,TRUE,00Q7000000jtLaAEAU,10/12/2012 15:05:00,Orbitz Worldwide,,,@orbitz.com,,,TRUE
FALSE,FALSE,00Q7000000LaH5QEAV,4/2/2008 21:56:15,Orbitz Worldwide,,,@orbitz.com,,,FALSE
FALSE,TRUE,00Q7000000O1seOEAR,10/17/2008 22:04:12,The American Automobile Association Inc. (AAA),,,@nationalaaa.com,,,TRUE
TRUE,TRUE,00Q7000000MvbHREAZ,7/9/2008 19:42:02,Vancouver Organizing Committee for the Olympic and Paralympic Winter Games (VANOC),,,@vancouver2010.com,,,TRUE
FALSE,TRUE,00Q7000000NUGS3EAP,8/20/2008 22:20:21,GE Commercial Finance,,,@ge.com,,,TRUE
TRUE,TRUE,00Q7000000Lat3YEAR,4/3/2008 18:50:42,Schlumberger Oilfield Services (Houston Oil),,,@houston.oilfield.slb.com,,,TRUE
TRUE,TRUE,00Q7000000TezO7EAJ,1/22/2010 23:35:13,Apple Inc.,,,@apple.com,,Other,TRUE
FALSE,FALSE,00Q70000010JuesEAC,9/24/2014 18:28:26,Apple Inc.,United States,Technical - Development/Engineering,@apple.com,Technology,Project Manager,FALSE
FALSE,TRUE,00Q7000000hPuQ9EAK,6/12/2012 22:14:50,salesforce.com,,,@level-studios.com,,,TRUE
FALSE,TRUE,00Q7000000XMC04EAH,10/15/2010 7:24:57,T-Systems International GmbH,Germany,,@t-systems.com,Telecommunications,C-Level/Executive/VP,TRUE
TRUE,TRUE,00Q7000000XjobVEAR,11/3/2010 20:15:50,T-Systems International GmbH,Germany,,@t-systems.com,,Project Manager,TRUE
TRUE,TRUE,00Q7000000YWgvaEAD,1/10/2011 19:42:22,T-Systems International GmbH,Germany,,@t-systems.com,,Project Manager,TRUE
FALSE,TRUE,00Q7000000bXkWBEA0,7/7/2011 12:54:47,T-Systems International GmbH,,,@t-systems.com,Other,,TRUE
TRUE,TRUE,00Q7000000Qh3HXEAZ,5/23/2009 15:29:24,Unisys America,,,@unisys.com,,Project Manager,TRUE
FALSE,TRUE,00Q7000000SOvw4EAD,10/28/2009 16:12:02,Unisys America,,,@unisys.com,,C-Level/Executive/VP,TRUE
FALSE,TRUE,00Q7000000wqxkBEAQ,4/9/2014 4:30:59,Unisys America,USA,,@unisys.com,Consulting,Director/Manager,TRUE
TRUE,TRUE,00Q7000000TgMAiEAN,2/10/2010 3:15:11,Unisys America,,,@unisys.com,,C-Level/Executive/VP,TRUE
TRUE,TRUE,00Q7000000PrY26EAF,3/16/2009 6:05:16,Unisys America,,,@unisys.com,,C-Level/Executive/VP,TRUE
FALSE,FALSE,00Q7000001B9l5yEAB,11/25/2015 14:33:57,Unisys America,United States,Business - Legal/Procurement,@unisys.com,Technology,Director/Manager,FALSE
FALSE,TRUE,00Q7000000YdI8zEAF,2/7/2011 16:05:22,Accenture Italy,Italy,,@accenture.com,,C-Level/Executive/VP,TRUE
FALSE,TRUE,00Q7000000eE06lEAC,12/12/2011 17:15:53,Accenture Italy,,,@accenture.com,Consulting,Associate/Analyst,TRUE
TRUE,TRUE,00Q7000000MIHLmEAP,5/16/2008 3:01:34,Manning & Napier Information Services LLC,,,@mnis.com,,,TRUE
TRUE,TRUE,00Q7000000K4acWEAR,1/15/2008 1:43:02,Manning & Napier Information Services LLC,,,@mnis.com,,,TRUE
FALSE,FALSE,00Q7000000J8POtEAN,12/3/2007 19:11:27,Edge Dynamics Inc.,,,@edgedynamics.com,,,FALSE
TRUE,TRUE,00Q7000000LvAPhEAN,4/24/2008 20:08:42,DemandTec Inc.,,,@demandtec.com,,,TRUE
TRUE,TRUE,00Q7000000zRytJEAS,8/12/2014 19:05:59,National Opinion Research Center,United States,Technical - Development/Engineering,@norc.org,Not For Profit / NGO,Independent Contractor,TRUE
FALSE,FALSE,00Q7000001B8tckEAB,11/23/2015 15:26:20,National Opinion Research Center,United States,Technical - IT/Support,@norc.org,Not For Profit / NGO,Director/Manager,FALSE
TRUE,TRUE,00Q7000000MN3DsEAL,5/20/2008 2:52:48,Liferay,,,@oclc.org,,,TRUE
FALSE,TRUE,00Q7000000J8mTkEAJ,12/4/2007 23:50:04,Aelera,,,@aelera.com,,,TRUE
TRUE,TRUE,00Q7000000J8lfmEAB,12/4/2007 22:49:20,Activision Publishing Inc.,,,@activision.com,,,TRUE
TRUE,TRUE,00Q7000000NyIYrEAN,10/1/2008 19:17:52,Digital Insight Corporation,,,@intuit.com,,,TRUE
TRUE,TRUE,00Q7000000PeuvUEAR,2/27/2009 0:44:50,Digital Insight Corporation,,,@intuit.com,,C-Level/Executive/VP,TRUE
FALSE,TRUE,00Q7000000VDUt7EAH,5/4/2010 18:56:22,Digital Insight Corporation,United States,,@intuit.com,,C-Level/Executive/VP,TRUE
TRUE,TRUE,00Q7000000J8N1rEAF,12/3/2007 17:34:24,York University,,,@yorku.ca,,,TRUE
FALSE,TRUE,00Q7000000jX4iNEAS,9/19/2012 20:20:33,York University,,,@yorku.ca,,,TRUE
FALSE,TRUE,00Q7000000J8ltjEAB,12/4/2007 23:03:58,Alstom ITC/ACSL,,,@itc.alstom.com,,,TRUE
FALSE,TRUE,00Q7000000J9KSGEA3,12/5/2007 19:38:39,Harvard Business School,,,@hbs.edu,,,TRUE
